CODEX;CODASS;CREDITS;CURS;Q;APR;NF;GR
226410;240022;6;2010;2;S;7;22
226410;240025;7.5;2010;2;S;5.1;22
226410;240011;6;2010;1;S;6.6;52
226410;240014;6;2010;1;N;0;52
226410;240023;6;2010;2;S;6.8;22
226410;240012;6;2010;1;S;7.6;52
226410;240015;6;2010;1;S;8;52
226410;240014;6;2010;2;S;8.3;31
226410;240024;4.5;2010;2;S;7;23
226410;240021;6;2010;2;S;7.6;22
226410;240013;6;2010;1;S;6.3;51
226431;240014;6;2010;1;S;5.3;41
226431;240021;6;2011;1;S;5;30
226431;240015;6;2010;1;N;4;41
226431;240023;6;2011;1;N;3;10
226431;240024;4.5;2010;2;S;7.1;22
226431;240011;6;2010;2;S;6.2;21
226431;240013;6;2010;1;N;4.2;41
226431;240025;7.5;2011;1;S;8;30
226431;240022;6;2010;2;S;6;42
226431;240015;6;2010;2;S;7.2;21
226431;240012;6;2010;1;S;6;41
226431;240011;6;2010;1;N;4;41
226431;240023;6;2011;2;S;6.8;40
226431;240013;6;2010;2;S;7;20
226441;240014;6;2010;1;N;3.8;62
226441;240015;6;2010;2;N;2.4;33
226441;240022;6;2010;2;N;0;53
226441;240011;6;2010;2;N;3.5;22
226441;240012;6;2010;1;S;5;62
226441;240011;6;2010;1;N;2.5;62
226441;240013;6;2010;1;N;3.2;62
226441;240015;6;2010;1;N;2.6;62
226441;240014;6;2010;2;N;4.2;21
226441;240023;6;2010;2;N;3.6;40
226441;240013;6;2010;2;N;4.1;20
226455;240025;7.5;2010;2;S;5.4;33
226455;240023;6;2010;2;S;8.1;32
226455;240021;6;2010;2;S;6.6;31
226455;240015;6;2010;1;S;9.2;33
226455;240022;6;2010;2;S;7.3;33
226455;240024;4.5;2010;2;S;8.1;31
226455;240013;6;2010;1;S;5.8;32
226455;240011;6;2010;1;S;8.1;33
226455;240012;6;2010;1;S;7.2;33
226455;240014;6;2010;1;S;5;32
226463;240014;6;2010;1;N;4;62
226463;240014;6;2011;1;N;4;62
226463;240015;6;2011;1;S;5.4;621
226463;240021;6;2011;1;N;2.7;30
226463;240024;4.5;2011;2;N;4;20
226463;240023;6;2011;1;N;1.5;30
226463;240015;6;2010;2;N;3.3;33
226463;240015;6;2010;1;N;1;32
226463;240022;6;2011;1;S;5;30
226463;240025;7.5;2010;2;S;6.7;43
226463;240013;6;2010;2;S;5;30
226463;240023;6;2011;2;S;7;80
226463;240011;6;2010;2;N;4;22
226463;240014;6;2010;2;N;4;31
226463;240011;6;2010;1;N;3.2;32
226463;240014;6;2011;2;S;7.2;20
226463;240012;6;2010;1;S;5.2;32
226463;240013;6;2010;1;N;2.1;62
226463;240011;6;2011;2;N;4;40
226463;240021;6;2011;2;S;6.1;80
226463;240024;4.5;2011;1;N;3.3;20
226464;240011;6;2010;2;S;5;32
