CODI_PROGRAMA;CODEX;CODASS;CREDITS;CURS;Q;APR;NOTA_PROF;NOTA_NUM_AVAL;NF;GR
752;226410;240041;6;2011;2;S;6.8;6.8;6.8;20
752;226410;240043;4.5;2011;2;S;7.6;7.6;7.6;22
752;226410;240044;3;2011;2;S;8.5;8.5;8.5;22
752;226410;240141;6;2011;2;S;6.3;6.3;6.3;24
752;226410;240162;4.5;2012;2;S;5.2;5.2;5.2;10
752;226410;240132;4.5;2011;1;S;6.3;6.3;6.3;11
752;226410;240061;6;2012;2;S;5.2;5.2;5.2;12
752;226410;240180;12;2013;2;S;7.5;7.5;7.5;10
752;226410;240A001;3;2013;2;S;;;;
752;226410;240133;6;2011;1;S;6;6;6;10
752;226410;240051;6;2012;1;S;5.2;5.2;5.2;20
752;226410;240033;4.5;2011;1;S;7;7;7;10
752;226410;240402;3;2011;2;S;7.7;7.7;7.7;20
752;226410;240063;6;2012;2;S;5.7;5.7;5.7;11
752;226410;240042;6;2011;2;S;7;7;7;22
752;226410;240071;6;2013;1;S;7.4;7.4;7.4;20
752;226410;240055;3;2012;1;S;6.5;6.5;6.5;22
752;226410;240064;3;2012;2;S;9;9;9;22
752;226410;240054;4.5;2012;1;S;6.1;6.1;6.1;22
752;226410;240072;7.5;2013;1;S;5.3;5.3;5.3;22
752;226410;240073;4.5;2013;1;S;6.7;6.7;6.7;23
752;226410;240053;6;2012;1;S;5.8;5.8;5.8;22
752;226410;240131;6;2011;1;S;5.8;5.8;5.8;10
752;226410;240151;4.5;2012;1;S;5.5;5.5;5.5;20
752;226410;240031;6;2011;1;S;7.8;7.8;7.8;10
752;226410;240172;6;2013;1;S;7.6;7.6;7.6;22
752;226410;240161;6;2012;2;S;5.4;5.4;5.4;11
752;226410;240032;4.5;2011;1;S;7.7;7.7;7.7;10
752;226410;240171;6;2013;1;S;5.1;5.1;5.1;22
752;226410;240062;4.5;2012;2;S;6;6;6;11
752;226410;240052;6;2012;1;S;5.5;5.5;5.5;22
752;226431;240131;6;2011;2;S;6.4;6.4;6.4;40
752;226431;240161;6;2013;2;S;4.1;4.1;5;14
752;226431;240172;6;2014;2;N;1.2;1.2;1.2;32
752;226431;240053;6;2013;1;N;0.9;0.9;0.9;24
752;226431;240133;6;2011;2;N;0;0;0;10
752;226431;240053;6;2014;1;S;5.8;5.8;5.8;30
752;226431;240051;6;2013;2;S;4.4;4.4;5;10
752;226431;240044;3;2012;2;S;9;9;9;46
752;226431;240042;6;2012;2;S;5.6;5.6;5.6;32
752;226431;240052;6;2013;1;S;5.2;5.2;5.2;54
752;226431;240072;7.5;2015;1;S;5.5;5.5;5.5;51
752;226431;240071;6;2014;2;S;7.3;7.3;7.3;32
752;226431;240041;6;2012;2;S;7;7;7;40
752;226431;240171;6;2014;1;N;4.3;4.3;4.3;41
752;226431;240162;4.5;2014;1;S;6.8;6.8;6.8;10
752;226431;280A006;3;2015;2;S;;;;
752;226431;240063;6;2015;1;S;5.3;5.3;5.3;40
752;226431;240033;4.5;2012;1;S;6.4;6.4;6.4;33
752;226431;240061;6;2014;2;N;3.2;3.2;3.2;10
752;226431;240171;6;2014;2;S;5;5;5;32
752;226431;240180;12;2015;2;S;9.5;9.5;9.5;10
752;226431;240051;6;2013;1;N;3.9;3.9;3.9;50
752;226431;240055;3;2013;1;S;5.3;5.3;5.3;12
752;226431;240054;4.5;2013;1;S;5.9;5.9;5.9;42
752;226431;240053;6;2013;2;N;2.7;2.7;2.7;10
752;226431;240032;4.5;2012;1;S;5.1;5.1;5.1;11
752;226431;240073;4.5;2014;2;S;5.9;5.9;5.9;32
752;226431;240653;4.5;2015;2;N;0;0;0;10
752;226431;240132;4.5;2011;1;S;5.6;5.6;5.6;11
752;226431;240061;6;2014;1;N;3.1;3.1;3.1;13
752;226431;240172;6;2015;1;N;3.5;3.5;3.5;41
752;226431;240151;4.5;2013;1;S;5.7;5.7;5.7;44
752;226431;240072;7.5;2014;2;N;1.7;1.7;1.7;32
752;226431;240064;3;2013;2;S;9;9;9;45
752;226431;240172;6;2015;2;S;7.2;7.2;7.2;40
752;226431;240031;6;2012;1;S;5;5;5;50
752;226431;240162;4.5;2013;2;N;2.1;2.1;2.1;40
752;226431;240501;3;2013;1;S;9.5;9.5;9.5;10
752;226431;240063;6;2014;1;N;4.5;4.5;4.5;21
752;226431;240172;6;2014;1;N;1.2;1.2;1.2;41
752;226431;240043;4.5;2012;2;S;5;5;5;42
752;226431;240133;6;2012;1;S;6.2;6.2;6.2;30
752;226431;240141;6;2012;2;S;5;5;5;32
